year,Population,Adults,Children,Singles,Taken,Hunger Deaths,Old Age Deaths,Average Age,Average Hunger,Average Prowess,Average Selfishness,Average Reciprocity
106,58,44,14,13,45,48,103,30.482758620689655,23.22892754363837,25.821522331259256,44.58620689655172,55.41379310344828
107,58,44,14,13,45,50,103,29.655172413793103,22.44778447453532,26.46228310853557,45.58620689655172,54.41379310344828
108,56,43,13,12,44,52,103,29.535714285714285,21.08760462750406,25.733497989076692,46.589285714285715,53.410714285714285
109,56,43,13,12,44,53,103,29.625,23.151207314889714,24.14871316005173,46.214285714285715,53.785714285714285
110,55,44,11,12,43,54,103,30.21818181818182,24.058896539302648,23.322921642515535,46.43636363636364,53.56363636363636
111,56,45,11,14,42,54,103,30.678571428571427,23.71492306789606,24.945791217818226,47.107142857142854,52.892857142857146
112,54,42,12,13,41,57,103,29.90740740740741,24.387616974227104,24.80758195064871,48.851851851851855,51.148148148148145
113,53,40,13,12,41,58,104,29.566037735849058,23.873661225933787,25.635772736330363,49.81132075471698,50.18867924528302
114,53,40,13,11,42,59,104,29.339622641509433,23.522044059633444,25.61003141206467,49.22641509433962,50.77358490566038
115,51,39,12,12,39,60,105,29.901960784313726,20.791055604098926,27.46384635668539,48.80392156862745,51.19607843137255
116,50,38,12,13,37,62,105,29.12,22.00401869721195,26.795981302788046,48.08,51.92
117,51,40,11,13,38,62,105,29.54901960784314,22.20262047380727,26.640516781094686,48.05882352941177,51.94117647058823
118,50,39,11,12,38,63,105,30.12,21.429411349087644,25.57058865091236,48.1,51.9
119,50,39,11,12,38,63,105,31.12,21.017533650027808,25.982466349972192,48.1,51.9
120,52,39,13,12,40,63,105,30.923076923076923,20.60732825928799,28.334979433019704,47.44230769230769,52.55769230769231
121,50,37,13,10,40,66,105,29.52,19.5696846305168,28.143653160234862,47.04,52.96
122,53,37,16,12,41,66,105,28.849056603773583,19.887679231898062,32.33873586244157,46.16981132075472,53.83018867924528
123,54,38,16,12,42,67,105,28.37037037037037,20.949004442206313,31.032477039275168,47.166666666666664,52.833333333333336
124,55,39,16,12,43,67,105,28.854545454545455,22.542871545178297,28.40258300027625,46.836363636363636,53.163636363636364
125,55,39,16,11,44,68,105,28.89090909090909,22.068046548139087,27.787414113528232,46.8,53.2
126,55,38,17,11,44,69,105,28.945454545454545,22.245857457203687,27.912478974130114,47.58181818181818,52.41818181818182
127,54,36,18,11,43,71,105,28.555555555555557,23.398157890568694,28.03029233480763,46.53703703703704,53.46296296296296
128,54,35,19,13,41,73,105,27.574074074074073,24.47252928384084,29.194137382825833,44.75925925925926,55.24074074074074
129,53,34,19,11,42,74,106,27.30188679245283,24.611593348228993,27.53935004799742,45.471698113207545,54.528301886792455
130,49,31,18,10,39,79,106,24.93877551020408,21.271874081538726,32.8301667347878,44.51020408163265,55.48979591836735
131,48,29,19,9,39,80,107,24.479166666666668,20.518710118248332,33.571023338222325,45.604166666666664,54.395833333333336
132,48,29,19,8,40,81,107,24.375,21.025099862218365,33.87709887960643,44.791666666666664,55.208333333333336
133,47,29,18,8,39,81,108,25.02127659574468,18.675557158398977,35.38827262883506,45.48936170212766,54.51063829787234
134,47,29,18,8,39,81,108,26.02127659574468,17.362653407534285,36.913942337146565,45.48936170212766,54.51063829787234
135,46,28,18,7,39,82,108,26.47826086956522,17.30552117208887,37.00694741007128,45.71739130434783,54.28260869565217
136,47,29,18,7,40,82,108,26.914893617021278,16.801711910661368,38.04935191912587,45.191489361702125,54.808510638297875
137,46,29,17,9,37,83,108,27.391304347826086,15.752349171706378,38.16660208211439,44.21739130434783,55.78260869565217
138,47,31,16,11,36,83,108,27.80851063829787,16.06887729781607,38.76090993622648,44.48936170212766,55.51063829787234
139,46,32,14,10,36,85,108,26.91304347826087,14.740342934738933,41.02052663047846,45.369565217391305,54.630434782608695
140,45,33,12,10,35,86,108,27.177777777777777,15.572653180648153,38.87179126379629,45.53333333333333,54.46666666666667
